NTANAME,BORONAME,socialSCORE,affordabilitySCORE,urbanSCORE,safetySCORE,sentimentSCORE,foodieSCORE,publicspaceSCORE,trendySCORE,musicSCORE,socialjusticeSCORE,nightlifeSCORE,fitnessSCORE,SCORE,score_a,OverallSCORE
Stuyvesant Town-Cooper Village,Manhattan,-0.16,-0.67,13.62,-0.17,-0.26,0.69,-0.12,-0.51,0.54,-0.07,0.32,-0.49,1.504761905,28.62,1.504761905
Starrett City,Brooklyn,-0.08,-0.6,1.76,-0.15,1.66,0.21,1.07,-0.63,-0.16,0.01,0.47,-0.49,1.194285714,18.84,1.194285714
Upper West Side,Manhattan,0.92,0.55,-0.07,-0.13,0.74,0.33,0.37,0.05,-0.13,0.06,0.22,-0.12,1.045396825,14.15,1.045396825
Borough Park,Brooklyn,0.49,1.35,-0.14,-0.02,0.2,0.43,0.42,-0.15,-0.09,0.16,-0.11,0.16,0.926031746,10.39,0.926031746
Yorkville,Manhattan,0.98,0.74,-0.02,-0.16,0.17,0.52,0.31,-0.06,0.04,-0.29,0.34,0.32,1.062857143,14.7,1.062857143
Lenox Hill-Roosevelt Island,Manhattan,1.2,0.25,0,-0.16,0.67,0.28,-0.28,-0.16,0.48,0.39,0.16,-0.14,0.972698413,11.86,0.972698413
North Side-South Side,Brooklyn,0.48,0.76,-0.11,0.08,0.37,0.39,0.23,0.33,0.09,-0.28,0.25,-0.04,1.128571429,16.77,1.128571429
Bedford,Brooklyn,0.61,0.71,-0.13,0.02,0.41,0.74,0.01,0.04,0.02,-0.01,-0.16,-0.03,0.913333333,9.99,0.913333333
College Point,Queens,-0.57,1.23,-0.1,0.26,0.7,0.72,0.05,1.1,0.4,-0.29,-1.47,-0.49,0.905396825,9.74,0.905396825
Park Slope-Gowanus,Brooklyn,0.35,0.86,-0.13,-0.05,0.59,0.14,0.27,0.14,0.16,-0.11,0.53,0.08,1.216190476,19.53,1.216190476
West Brighton,Brooklyn,0.24,-0.3,1.68,-0.17,0.32,-2.5,1.46,2.9,-1.45,2.48,-1.47,-0.49,0.594285714,-0.06,0.594285714
Lincoln Square,Manhattan,1.16,-0.31,0.09,-0.15,0.73,0.19,0.14,0.58,0.09,-0.05,0.07,-0.04,1.060634921,14.63,1.060634921
West Village,Manhattan,1.09,-0.14,-0.08,-0.11,0.65,0.36,0.37,0.21,-0.09,0.01,-0.02,-0.06,0.952380952,11.22,0.952380952
East Village,Manhattan,0.71,0.18,-0.05,-0.1,0.82,0.1,0.22,-0.02,0.34,-0.02,0.38,0.31,1.187936508,18.64,1.187936508
Sunset Park East,Brooklyn,0.34,0.99,-0.13,0.17,-0.06,0.05,0.3,0.35,-0.08,0.45,-0.33,0.38,0.885396825,9.11,0.885396825
Astoria,Queens,0.22,0.73,-0.13,-0.03,0.77,-0.17,0.16,-0.1,0.75,-0.07,0.55,0.65,1.366349206,24.26,1.366349206
Bensonhurst East,Brooklyn,0.07,1.05,-0.14,0,0.26,0.35,0.47,0.25,-0.26,-0.35,0.57,0.48,1.207936508,19.27,1.207936508
Clinton Hill,Brooklyn,0.39,0.71,-0.11,0.09,0.29,0.6,0.07,0,-0.24,0.41,-0.24,-0.21,0.766666667,5.37,0.766666667
Hunts Point,Bronx,0.71,-0.19,-0.07,0.11,0.7,0.62,-0.22,1.35,-0.95,-0.24,0.77,-0.49,1.149206349,17.42,1.149206349
Crown Heights South,Brooklyn,0.17,0.56,-0.1,-0.09,0.77,0.61,0.16,0.34,0.11,-0.32,0.03,-0.49,1.042539683,14.06,1.042539683
